Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Community Board,Borough
20962774,08-03-2011 0:00,08-05-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10038,GOLD STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20947571,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10025,WEST 109 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20960222,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Hazardous Materials,,10019,WEST 51 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20960227,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Industrial Waste,,10019,WEST 51 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20960239,08-02-2011 0:00,08/15/2011 12:00 AM,Department of Environmental Protection,Noise,,10028,EAST 86 STREET,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20960247,08-02-2011 0:00,08-03-2011 0:00,Department of Environmental Protection,Noise,,10036,WEST 48 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20960248,08-02-2011 0:00,08-04-2011 0:00,Department of Environmental Protection,Noise,,10022,EAST   50 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20960265,08-02-2011 0:00,08-03-2011 0:00,Department of Environmental Protection,Noise,,10023,WEST 76 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20949164,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10009,AVENUE A,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20960396,08-02-2011 0:00,08-09-2011 0:00,Department of Environmental Protection,Noise,,10016,3 AVENUE,NEW YORK,Closed,06 MANHATTAN,MANHATTAN
20960399,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Noise,,10003,EAST 15 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
20954403,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10031,WEST 135 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20954420,08-02-2011 0:00,08-08-2011 0:00,Department of Transportation,Street Condition,Street,10026,WEST 118 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20954421,08-02-2011 0:00,08-08-2011 0:00,Department of Transportation,Street Condition,Street,10026,WEST 118 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20954833,08-02-2011 0:00,08-03-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10019,11 AVENUE,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20954858,08-02-2011 0:00,07/28/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Apt. Building,10009,EAST 4 STREET,NEW YORK,Pending,Unspecified MANHATTAN,MANHATTAN
20954880,08-02-2011 0:00,08-02-2011 0:00,3-1-1 Call Center,Noise Survey,Bar/Restaurant,10001,WEST 28 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20955306,08-02-2011 0:00,10-02-2011 0:00,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10025,AMSTERDAM AVENUE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20955748,08-02-2011 0:00,09/28/2011 12:00 AM,Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,10032,WEST 167 STREET,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20956129,08-02-2011 0:00,08/19/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,Single Room Occupancy (SRO),10024,WEST 84 STREET,NEW YORK,Closed,Unspecified MANHATTAN,MANHATTAN
20956143,08-02-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10031,CONVENT AVENUE,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20956150,08-03-2011 0:00,08-03-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10035,5 AVENUE,NEW YORK,Closed,11 MANHATTAN,MANHATTAN
20956172,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10011,WEST 21 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20956180,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10029,EAST 106 STREET,NEW YORK,Closed,11 MANHATTAN,MANHATTAN
20956451,08-02-2011 0:00,08-03-2011 0:00,Taxi and Limousine Commission,Taxi Complaint,Street,10013,SPRING STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20956487,08-02-2011 0:00,10/13/2011 12:00 AM,Department of Health and Mental Hygiene,Rodent,3+ Family Apt. Building,10031,WEST 150 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20958098,08-02-2011 0:00,08-07-2011 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10037,5 AVENUE,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20958607,08-02-2011 0:00,08-05-2011 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,ST NICHOLAS AVENUE,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20958632,08-02-2011 0:00,08-08-2011 0:00,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10032,BROADWAY,NEW YORK,Closed,12 MANHATTAN,MANHATTAN
20960277,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Water System,,10128,1 AVENUE,NEW YORK,Closed,08 MANHATTAN,MANHATTAN
20960301,08-02-2011 0:00,08-05-2011 0:00,Department of Environmental Protection,Noise,,10024,WEST 85 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20960307,08-02-2011 0:00,08-03-2011 0:00,Department of Environmental Protection,Noise,,10001,WEST 34 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20960322,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Water System,,10031,WEST  137 STREET,NEW YORK,Closed,09 MANHATTAN,MANHATTAN
20960325,08-02-2011 0:00,08-02-2011 0:00,Department of Environmental Protection,Noise,,10023,WEST   76 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN
20960331,08-02-2011 0:00,08-04-2011 0:00,Department of Environmental Protection,Noise,,10003,MERCER STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN
20961198,08-02-2011 0:00,09/16/2011 12:00 AM,Department of Sanitation,Graffiti,Residential,10013,STAPLE STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20961200,08-02-2011 0:00,08-12-2011 0:00,Department of Sanitation,Graffiti,Comercial,10027,WEST 125 STREET,NEW YORK,Closed,10 MANHATTAN,MANHATTAN
20955366,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Homeless Encampment,Residential Building/House,10007,WARREN STREET,NEW YORK,Closed,01 MANHATTAN,MANHATTAN
20955378,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Homeless Encampment,Residential Building/House,10002,CLINTON STREET,NEW YORK,Closed,03 MANHATTAN,MANHATTAN
20955387,08-02-2011 0:00,08-02-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10011,WEST 16 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN
20955398,08-02-2011 0:00,08-03-2011 0:00,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,10036,WEST 43 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN
