Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Borough
21561688,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10011,WEST 23 STREET,NEW YORK,Closed,MANHATTAN
21562679,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10034,VERMILYEA AVENUE,NEW YORK,Closed,MANHATTAN
21563175,10-02-2011 0:00,10-02-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10128,EAST 92 STREET,NEW YORK,Closed,MANHATTAN
21563185,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10009,1 AVENUE,NEW YORK,Closed,MANHATTAN
21563186,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10032,HAVEN AVENUE,NEW YORK,Closed,MANHATTAN
21563188,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10031,WEST 149 STREET,NEW YORK,Closed,MANHATTAN
21562520,10-02-2011 0:00,10-02-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10011,WEST 16 STREET,NEW YORK,Closed,MANHATTAN
21564951,10-02-2011 0:00,10-05-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,WEST 177 STREET,NEW YORK,Closed,MANHATTAN
21564962,10-02-2011 0:00,10-02-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10033,PINEHURST AVENUE,NEW YORK,Closed,MANHATTAN
21565653,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10031,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21565716,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Street/Sidewalk,10006,BROADWAY,NEW YORK,Closed,MANHATTAN
21565636,10-02-2011 0:00,10-04-2011 0:00,BCC - Manhattan,Sanitation Condition,Street,10016,EAST 27 STREET,NEW YORK,Closed,MANHATTAN
21565610,10-02-2011 0:00,10-05-2011 0:00,Department of Environmental Protection,Air Quality,,10014,BLEEKER STREET,NEW YORK,Closed,MANHATTAN
21565613,10-02-2011 0:00,10-05-2011 0:00,Department of Environmental Protection,Noise,,10039,WEST 145 STREET,NEW YORK,Closed,MANHATTAN
21565988,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10011,WEST 23 STREET,NEW YORK,Closed,MANHATTAN
21565799,10-02-2011 0:00,10-02-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10012,WEST BROADWAY,NEW YORK,Closed,MANHATTAN
21565809,10-02-2011 0:00,10-02-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10031,AMSTERDAM AVENUE,NEW YORK,Closed,MANHATTAN
21565280,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10036,WEST 43 STREET,NEW YORK,Closed,MANHATTAN
21565282,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10463,JACOBUS PLACE,NEW YORK,Closed,MANHATTAN
21565178,10-03-2011 0:00,10-05-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10029,EAST 115 STREET,NEW YORK,Closed,MANHATTAN
21565198,10-02-2011 0:00,10-03-2011 0:00,Department of Buildings,General Construction/Plumbing,,10009,EAST 6 STREET,NEW YORK,Closed,MANHATTAN
21566840,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10024,AMSTERDAM AVENUE,NEW YORK,Closed,MANHATTAN
21566569,10-02-2011 0:00,10-02-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10026,WEST 118 STREET,NEW YORK,Closed,MANHATTAN
21566657,10-02-2011 0:00,10-03-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10033,ST NICHLAS AVENUE,NEW YORK,Closed,MANHATTAN
21566671,10-02-2011 0:00,10-03-2011 0:00,Taxi and Limousine Commission,Taxi Complaint,,10014,BLEECKER STREET,NEW YORK,Closed,MANHATTAN
21566681,10-02-2011 0:00,10-05-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10003,EAST 19 STREET,NEW YORK,Closed,MANHATTAN
21566103,10-02-2011 0:00,10-07-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10040,ELLWOOD STREET,NEW YORK,Closed,MANHATTAN
